"words","frequency","first","second","third","fourth"
"i think i heard",2,"i","think","i","heard"
"i think i like",2,"i","think","i","like"
"i think im going",2,"i","think","im","going"
"i think important thing",2,"i","think","important","thing"
"i think one thing",2,"i","think","one","thing"
"i think s important",2,"i","think","s","important"
"i thought i least",2,"i","thought","i","least"
"i thought i saw",2,"i","thought","i","saw"
"i thought id get",2,"i","thought","id","get"
"i try think much",2,"i","try","think","much"
"i went back got",2,"i","went","back","got"
"i will always love",2,"i","will","always","love"
"i will say i",2,"i","will","say","i"
"i will stay upallnight",2,"i","will","stay","upallnight"
"i will work harder",2,"i","will","work","harder"
"i wish i just",2,"i","wish","i","just"
"i wrote i thought",2,"i","wrote","i","thought"
"i’m glad i read",2,"i’m","glad","i","read"
"i’m living high hog",2,"i’m","living","high","hog"
"if i can help",2,"if","i","can","help"
"if i ever get",2,"if","i","ever","get"
"if like join us",2,"if","like","join","us"
"if mutual attraction forget",2,"if","mutual","attraction","forget"
"ill see i can",2,"ill","see","i","can"
"im going try get",2,"im","going","try","get"
"im hoping i can",2,"im","hoping","i","can"
"im just going come",2,"im","just","going","come"
"in bowl electric mixer",2,"in","bowl","electric","mixer"
"incorporated item c pp",2,"incorporated","item","c","pp"
"instead two years later",2,"instead","two","years","later"
"it right children raped",2,"it","right","children","raped"
"ive got i let",2,"ive","got","i","let"
"ive heard great things",2,"ive","heard","great","things"
"j am med assoc",2,"j","am","med","assoc"
"jacksons doctor found guilty",2,"jacksons","doctor","found","guilty"
"just finished mi run",2,"just","finished","mi","run"
"just got back work",2,"just","got","back","work"
"just i didn’t know",2,"just","i","didn’t","know"
"just like cold case",2,"just","like","cold","case"
"just want go sleep",2,"just","want","go","sleep"
"just wanted say i",2,"just","wanted","say","i"
"justin bieber justin bieber",2,"justin","bieber","justin","bieber"
"kids hide yo wife",2,"kids","hide","yo","wife"
"last night i dreamt",2,"last","night","i","dreamt"
"last time i checked",2,"last","time","i","checked"
"learn brave patient joys",2,"learn","brave","patient","joys"
"let know i can",2,"let","know","i","can"
"let know u think",2,"let","know","u","think"
"let us know need",2,"let","us","know","need"
"let us know think",2,"let","us","know","think"
"lights the press association",2,"lights","the","press","association"
"like cold case files",2,"like","cold","case","files"
"like lady think like",2,"like","lady","think","like"
"look forward seeing next",2,"look","forward","seeing","next"
"looking forward seeing everyone",2,"looking","forward","seeing","everyone"
"looks like much fun",2,"looks","like","much","fun"
