"words","frequency","first","second"
"all i",18,"all","i"
"and now",18,"and","now"
"can also",18,"can","also"
"can still",18,"can","still"
"course i",18,"course","i"
"days i",18,"days","i"
"don’t think",18,"don’t","think"
"every single",18,"every","single"
"fall love",18,"fall","love"
"get ready",18,"get","ready"
"glad i",18,"glad","i"
"go get",18,"go","get"
"good one",18,"good","one"
"hope i",18,"hope","i"
"hope well",18,"hope","well"
"i appreciate",18,"i","appreciate"
"i first",18,"i","first"
"i suppose",18,"i","suppose"
"id like",18,"id","like"
"im good",18,"im","good"
"just get",18,"just","get"
"lets get",18,"lets","get"
"like good",18,"like","good"
"like one",18,"like","one"
"love life",18,"love","life"
"man i",18,"man","i"
"may th",18,"may","th"
"never know",18,"never","know"
"new years",18,"new","years"
"now just",18,"now","just"
"oh well",18,"oh","well"
"one year",18,"one","year"
"parking lot",18,"parking","lot"
"point i",18,"point","i"
"san francisco",18,"san","francisco"
"see soon",18,"see","soon"
"so many",18,"so","many"
"some people",18,"some","people"
"thank god",18,"thank","god"
"want get",18,"want","get"
"we just",18,"we","just"
"will also",18,"will","also"
"will see",18,"will","see"
"years old",18,"years","old"
"back work",17,"back","work"
"beautiful day",17,"beautiful","day"
"can just",17,"can","just"
"everything i",17,"everything","i"
"follow please",17,"follow","please"
"get one",17,"get","one"
"go away",17,"go","away"
"good enough",17,"good","enough"
"happy easter",17,"happy","easter"
"happy new",17,"happy","new"
"harry potter",17,"harry","potter"
"hey i",17,"hey","i"
"home i",17,"home","i"
"hope great",17,"hope","great"
"how many",17,"how","many"
"i added",17,"i","added"
"i came",17,"i","came"
"i cant",17,"i","cant"
"i done",17,"i","done"
"i expect",17,"i","expect"
"i picked",17,"i","picked"
"i received",17,"i","received"
"i thinking",17,"i","thinking"
"i watched",17,"i","watched"
"i worked",17,"i","worked"
"i write",17,"i","write"
"in words",17,"in","words"
"its like",17,"its","like"
"ive never",17,"ive","never"
"jesus christ",17,"jesus","christ"
"just found",17,"just","found"
"just made",17,"just","made"
"just wanted",17,"just","wanted"
"love love",17,"love","love"
"love much",17,"love","much"
"need go",17,"need","go"
"never get",17,"never","get"
"oh god",17,"oh","god"
"one can",17,"one","can"
"person i",17,"person","i"
"read book",17,"read","book"
"san diego",17,"san","diego"
"tell us",17,"tell","us"
"think will",17,"think","will"
"u r",17,"u","r"
"we hope",17,"we","hope"
"will find",17,"will","find"
"yesterday i",17,"yesterday","i"
"yet i",17,"yet","i"
"you guys",17,"you","guys"
"anything i",16,"anything","i"
"can find",16,"can","find"
"can take",16,"can","take"
"cause i",16,"cause","i"
"couple weeks",16,"couple","weeks"
"feel free",16,"feel","free"
"friends family",16,"friends","family"
"god i",16,"god","i"
"going back",16,"going","back"
"good job",16,"good","job"
"had great",16,"had","great"
"happy hour",16,"happy","hour"
"i couldn’t",16,"i","couldn’t"
"i gotta",16,"i","gotta"
"i happy",16,"i","happy"
"i looking",16,"i","looking"
"i often",16,"i","often"
"i realize",16,"i","realize"
"just need",16,"just","need"
"last years",16,"last","years"
"look good",16,"look","good"
"love see",16,"love","see"
"mean i",16,"mean","i"
"morning i",16,"morning","i"
"much love",16,"much","love"
"ok i",16,"ok","i"
"on hand",16,"on","hand"
"on way",16,"on","way"
"people know",16,"people","know"
"real life",16,"real","life"
"really like",16,"really","like"
"see u",16,"see","u"
"take care",16,"take","care"
"thanks everyone",16,"thanks","everyone"
"the last",16,"the","last"
"the next",16,"the","next"
"the one",16,"the","one"
"the thing",16,"the","thing"
"this week",16,"this","week"
"two people",16,"two","people"
"u get",16,"u","get"
"want know",16,"want","know"
"we know",16,"we","know"
"why i",16,"why","i"
"you must",16,"you","must"
"bad news",15,"bad","news"
"best friends",15,"best","friends"
"can talk",15,"can","talk"
"didn’t know",15,"didn’t","know"
"dont know",15,"dont","know"
"email address",15,"email","address"
"everyone else",15,"everyone","else"
"good i",15,"good","i"
"good times",15,"good","times"
"good work",15,"good","work"
"got home",15,"got","home"
"got new",15,"got","new"
"grade teacher",15,"grade","teacher"
"happy valentines",15,"happy","valentines"
"have fun",15,"have","fun"
"how i",15,"how","i"
"i almost",15,"i","almost"
"i eat",15,"i","eat"
"i plan",15,"i","plan"
"i watch",15,"i","watch"
"if u",15,"if","u"
"if want",15,"if","want"
"im looking",15,"im","looking"
"im trying",15,"im","trying"
"it great",15,"it","great"
"it seems",15,"it","seems"
"its going",15,"its","going"
"just make",15,"just","make"
"just started",15,"just","started"
"last month",15,"last","month"
"like im",15,"like","im"
"living room",15,"living","room"
"make feel",15,"make","feel"
"many ways",15,"many","ways"
"might well",15,"might","well"
"music video",15,"music","video"
"my favorite",15,"my","favorite"
"new followers",15,"new","followers"
"new jersey",15,"new","jersey"
"no matter",15,"no","matter"
"of the",15,"of","the"
"people will",15,"people","will"
"so far",15,"so","far"
"tell i",15,"tell","i"
"thanks man",15,"thanks","man"
"the new",15,"the","new"
"there also",15,"there","also"
"this year",15,"this","year"
"times i",15,"times","i"
"what think",15,"what","think"
"years later",15,"years","later"
"you want",15,"you","want"
"a friend",14,"a","friend"
"along way",14,"along","way"
"another one",14,"another","one"
"at first",14,"at","first"
"best way",14,"best","way"
"blog i",14,"blog","i"
"brand new",14,"brand","new"
"can change",14,"can","change"
"can give",14,"can","give"
"can hear",14,"can","hear"
"cinco de",14,"cinco","de"
"come true",14,"come","true"
"coming back",14,"coming","back"
"couple days",14,"couple","days"
"couple hours",14,"couple","hours"
"day today",14,"day","today"
"family friends",14,"family","friends"
"finally got",14,"finally","got"
"for reason",14,"for","reason"
"get rid",14,"get","rid"
"gonna go",14,"gonna","go"
"good idea",14,"good","idea"
"good things",14,"good","things"
"great see",14,"great","see"
"great things",14,"great","things"
"guess i",14,"guess","i"
"help us",14,"help","us"
"hip hop",14,"hip","hop"
"hope everyone",14,"hope","everyone"
"i am",14,"i","am"
"i definitely",14,"i","definitely"
"i doubt",14,"i","doubt"
"i excited",14,"i","excited"
"i figured",14,"i","figured"
"i forget",14,"i","forget"
"i good",14,"i","good"
"i liked",14,"i","liked"
"i mentioned",14,"i","mentioned"
"i much",14,"i","much"
"i set",14,"i","set"
"i walk",14,"i","walk"
"in addition",14,"in","addition"
"it can",14,"it","can"
"it just",14,"it","just"
"just left",14,"just","left"
"just little",14,"just","little"
"just watched",14,"just","watched"
"know will",14,"know","will"
"last two",14,"last","two"
"later i",14,"later","i"
"long i",14,"long","i"
"make sense",14,"make","sense"
"much like",14,"much","like"
"next morning",14,"next","morning"
"one direction",14,"one","direction"
"people like",14,"people","like"
"please please",14,"please","please"
"s just",14,"s","just"
"seem like",14,"seem","like"
"so glad",14,"so","glad"
"something else",14,"something","else"
"take look",14,"take","look"
"th birthday",14,"th","birthday"
"th grade",14,"th","grade"
"thought id",14,"thought","id"
"way back",14,"way","back"
"way go",14,"way","go"
"will continue",14,"will","continue"
"will play",14,"will","play"
"will say",14,"will","say"
"a good",13,"a","good"
"also i",13,"also","i"
"am i",13,"am","i"
"and im",13,"and","im"
"asked i",13,"asked","i"
"back soon",13,"back","soon"
"believe i",13,"believe","i"
"big deal",13,"big","deal"
"book i",13,"book","i"
"but now",13,"but","now"
"can feel",13,"can","feel"
"can imagine",13,"can","imagine"
"come see",13,"come","see"
"days ago",13,"days","ago"
"did i",13,"did","i"
"dining room",13,"dining","room"
"don’t like",13,"don’t","like"
"dont miss",13,"dont","miss"
"either way",13,"either","way"
"even i",13,"even","i"
"every year",13,"every","year"
"everything else",13,"everything","else"
"feel good",13,"feel","good"
"feeling like",13,"feeling","like"
"first day",13,"first","day"
"first place",13,"first","place"
"first round",13,"first","round"
"friends i",13,"friends","i"
"get home",13,"get","home"
"go see",13,"go","see"
"i chose",13,"i","chose"
"i enjoyed",13,"i","enjoyed"
"i getting",13,"i","getting"
"i let",13,"i","let"
"i mention",13,"i","mention"
"i sent",13,"i","sent"
"i time",13,"i","time"
"i truly",13,"i","truly"
"i usually",13,"i","usually"
"i woke",13,"i","woke"
"if re",13,"if","re"
"ill try",13,"ill","try"
"im always",13,"im","always"
"im jealous",13,"im","jealous"
"im ready",13,"im","ready"
"it makes",13,"it","makes"
"its time",13,"its","time"
"just let",13,"just","let"
"just realized",13,"just","realized"
"just say",13,"just","say"
"know u",13,"know","u"
"like see",13,"like","see"
"little things",13,"little","things"
"love u",13,"love","u"
"makes want",13,"makes","want"
"many things",13,"many","things"
"my friend",13,"my","friend"
"my husband",13,"my","husband"
"need help",13,"need","help"
"new music",13,"new","music"
"next day",13,"next","day"
"next month",13,"next","month"
"nothing else",13,"nothing","else"
"people want",13,"people","want"
"remember i",13,"remember","i"
"san antonio",13,"san","antonio"
"spread word",13,"spread","word"
"that i",13,"that","i"
"the reason",13,"the","reason"
"the way",13,"the","way"
"think can",13,"think","can"
"this time",13,"this","time"
"three days",13,"three","days"
"trying make",13,"trying","make"
"well done",13,"well","done"
"whats favorite",13,"whats","favorite"
"whole thing",13,"whole","thing"
"will ever",13,"will","ever"
"will give",13,"will","give"
"will just",13,"will","just"
"will need",13,"will","need"
"would love",13,"would","love"
"years i",13,"years","i"
"yes yes",13,"yes","yes"
"you get",13,"you","get"
"you need",13,"you","need"
"youre welcome",13,"youre","welcome"
"act like",12,"act","like"
"always wanted",12,"always","wanted"
"and yes",12,"and","yes"
"and yet",12,"and","yet"
"anything else",12,"anything","else"
"april th",12,"april","th"
"around world",12,"around","world"
"because i",12,"because","i"
"better i",12,"better","i"
"but s",12,"but","s"
"came back",12,"came","back"
"can easily",12,"can","easily"
"cant believe",12,"cant","believe"
"de mayo",12,"de","mayo"
"dont get",12,"dont","get"
"enough i",12,"enough","i"
"ever seen",12,"ever","seen"
"facebook page",12,"facebook","page"
"find way",12,"find","way"
"forward seeing",12,"forward","seeing"
"get better",12,"get","better"
"get excited",12,"get","excited"
"get good",12,"get","good"
"go bed",12,"go","bed"
"go i",12,"go","i"
"go one",12,"go","one"
"go school",12,"go","school"
"go sleep",12,"go","sleep"
"good see",12,"good","see"
"got back",12,"got","back"
"great way",12,"great","way"
"ha ha",12,"ha","ha"
"happy friday",12,"happy","friday"
